,Lens ID,title,publication_year,abstract,tags,url,publication_type,affiliation,country_code
230,051-059-602-969-895,An improved method for direct incident solar radiation calculation from hourly solar insolation data in building energy simulation,2020,"Abstract Solar radiation considerably influences the energy consumption of buildings and the power production of building integrated photovoltaic (BIPV) systems. Hourly solar insolation (Wh/m2), represented as the amount of solar irradiance collected on the ground during a 1-h period, is the most common solar radiation data available and widely used in weather files applied in building energy modeling programs (BEMPs). Because the solar beam and position vary over time, the use of hourly insolation data as the input might result in errors in the estimation of the direct incident solar radiation on a particular surface. In this study, methods used in BEMPs for direct incident solar radiation calculations are first analyzed, and an improved method adopting a new algorithm for estimating the solar irradiance is proposed. The algorithm assumes that the solar irradiance changes linearly within a 1-h period and can be estimated based on the solar irradiance at the half clock and slope. The collected direct normal solar irradiance data of 2016 from eight solar radiation stations in China were used to demonstrate the proposed method and evaluate its performance by comparing the results with those from three conventional methods used in BEMPs along with the ground truth measurements. In addition, in this study, factors affecting the accuracy of the calculation results are explored. The results of the estimated direct incident solar radiation show that the proposed method achieves the best accuracy, followed by the methods used in DOE-2, EnergyPlus, and DeST. The proposed method guarantees that the hourly direct solar insolation will remain the same and reflects the variation in the direct solar irradiance across a 1-h time frame. The proposed method can be adopted in BEMPs to improve the accuracy of the solar radiation calculation, thereby improving the accuracy of the simulated building performance and the BIPV production.",Building-integrated photovoltaics; Ground truth; Meteorology; Radiation; Power (physics); Building energy simulation; Energy consumption; Environmental science; Photovoltaic system; Solar irradiance,http://dx.doi.org/10.1016/j.enbuild.2020.110425,journal article,Beijing University of Civil Engineering and Architecture,cn
231,052-330-925-484-376,Building Integrated Photovoltaic Thermoelectric Wall System: Balancing Simulation Speed and Accuracy☆,2017,"Abstract A proper parameters setting is crucial to both simulation speed and accuracy. This is particularly true for the simulation of complicated systems. Building integrated photovoltaic thermoelectric wall system (BIPVTE) is an effective and innovative active building envelope system which can largely cut building energy consumption. The basic thermal model of BIPVTE wall system was established and two important model parameters were optimized to provide useful guide for further investigation of this active wall system. The numerical study in terms of time step Δ h and superposition number N in model integral calculation were conducted and analyzed to balance simulation speed and accuracy. It is concluded that time step should be set around 10 min to 30 min and parameter N around 6 to 8 for the annual thermal performance simulation of BIPVTE wall system. But if the simulation task is typical day calculation, time step should be set as around 1 min.",Engineering; Set (abstract data type); Building envelope; Thermal; Superposition principle; Building energy; Time step; Photovoltaic system; Simulation; Thermoelectric effect; Mechanical engineering,http://dx.doi.org/10.1016/j.egypro.2017.03.284,journal article,Hunan University,cn
232,052-567-317-372-237,Design and Operation of Building Integrated Photovoltaic(BIPV),2014,"Details of a Building Integrated Photovoltaic(BIPV) system in Shenzhen are expounded. The construction function of the system besides electricity generation is introduced. The relationship of the generating capacity, solar radiation, peak generating capacity, generating electricity efficiency of different types Photovoltaic(PV) modules installed on various places are analyzed with the monitoring data of the operating example.",Building-integrated photovoltaics; Automotive engineering; Rooftop photovoltaic power station; Photovoltaic mounting system; Electronic engineering; Systems design; Computer science; Photovoltaic system; Electricity generation; Solar energy; Photovoltaics,http://en.cnki.com.cn/Article_en/CJFDTOTAL-FCYY201407017.htm,journal article,Shenzhen Institute of Building Research Co,cn
233,052-674-006-110-25X,The application situation and the development trend of BITV,2010,"Some developed countries abroad began to develop building integrated photovoltaic(BIPV)applications from the early 90s of last century.But it is still at an initial stage of development in China.May 21,2009,the Ministry of Finance and Housing and Urban-Rural Construction jointly issued the ""on accelerating the implementation of solar PV building applications opinions"",which was officially launched our ""Solar Roofs Plan."" This paper describes the integration of photovoltaic systems and building forms,and the many advantages of building-integrated photovoltaic,focusing on their application at home and abroad and finally shows their development trend from the policies and regulations,technical standards,certification system in China.BIPV is one of the most important areas in the future applications.Its development prospects are very broad and has tremendous market potential.",Building-integrated photovoltaics; Engineering; Architectural engineering; Renewable energy; Market potential; Photovoltaic system; Certification; Christian ministry; Plan (drawing),http://en.cnki.com.cn/Article_en/CJFDTOTAL-JNJN201002002.htm,journal article,Beijing University of Civil Engineering and Architecture,cn
234,052-765-252-361-349,"Performance comparison of BAPV and BIPV systems with c-Si, CIS and CdTe photovoltaic technologies under tropical weather conditions",2019,"Abstract This paper compares the performance of photovoltaics (PV) for building applications in two configurations: building applied photovoltaics (BAPV) and building integrated photovoltaics (BIPV). A 32.7 kWp PV capacity is proposed for a roof building and its performance in BAPV and BIPV configurations with three PV technologies namely crystalline (c-Si), CIS, and CdTe is analyzed. The standard methodology with performance parameters such as energy yield (EY), yield factor (YF), capacity utilization factor (CUF), performance ratio (PR), and losses is used. It is found that the EY, YF, and year to year energy production variability of BIPV and BAPV technologies varies from 43,700–46,800 kW h, 1336.39–1431.19 kW h/kWp, and 1910–2100 kW h respectively. The CUF and PR vary from 15.25–16.33%, and 72.23–77.36% respectively. Irrespective of PV configuration and technology, observed losses due to the angle of incidence, spectral effects, effects of change in irradiance and module temperatures are observed to be − 2.8%, − 1 to − 5%, and − 7.4 to − 13.6% respectively. Total system losses range from −22.6 to 27.8% causing a fair amount of loss in the PV efficiency. Among, three PV technologies, CdTe is observed to perform better than CIS, and c-Si.",Building-integrated photovoltaics; Materials science; Roof; Performance ratio; Performance comparison; Photovoltaic system; Irradiance; Photovoltaics; Cadmium telluride photovoltaics; Engineering physics,http://dx.doi.org/10.1016/j.csite.2018.100374,journal article,City University of Hong Kong,cn
235,052-771-873-120-629,Influence of a building’s integrated-photovoltaics on heating and cooling loads,2006,"Abstract Building integrated photovoltaics (BIPV) has the potential to become a major source of renewable energy in the urban environment. BIPV has significant influence on the heat transfer through the building envelope because of the change of the thermal resistance by adding or replacing the building elements. Four different roofs are used to assess the impacts of BIPV on the building’s heating-and-cooling loads; namely ventilated air-gap BIPV, non-ventilated (closed) air-gap BIPV, closeroof mounted BIPV, and the conventional roof with no PV and no air gap. One-dimensional transient models of four cases are derived to evaluate the PV performances and building cooling-and-heating loads across the different roofs in order to select the appropriate PV building integration method in Tianjin, China. The simulation results show that the PV roof with ventilated air-gap is suitable for the application in summer because this integration leads to the low cooling load and high PV conversion efficiency. The PV roof with ventilation air-gap has a high time lag and small decrement factor in comparison with other three roofs and has the same heat gain as the cool roof of absorptance 0.4. In winter, BIPV of non-ventilated air gap is more appropriate due to the combination of the low heating-load through the PV roof and high PV electrical output.",Building-integrated photovoltaics; Engineering; Automotive engineering; Renewable energy; Building envelope; Roof; Cooling load; Reflective surfaces; Solar gain; Photovoltaics; Environmental engineering,http://dx.doi.org/10.1016/j.apenergy.2005.10.002,journal article,Tianjin University,cn
236,053-329-478-361-830,Design of Photovoltaic MPPT Tracker Based on Boost Converter,2012,"Building integrated photovoltaic is an important part of photovoltaic technology.Modular power conversion topology is the recent developing direction of BIPV technology.A maximum power point tracking design based on boost converter is proposed in this paper according to the requirements of DC modular BIPV system,which could keeps photovoltaic cells output max power when light intensity is changing.At last,its applicability is verified by MATLAB simulation.",Modular design; Building-integrated photovoltaics; Engineering; Power optimizer; Topology (electrical circuits); Electronic engineering; Light intensity; Maximum power point tracking; Photovoltaic system; Boost converter,https://en.cnki.com.cn/Article_en/CJFDTOTAL-JDYG201202003.htm,journal article,China University of Mining and Technology,cn
237,054-208-259-070-908,An analysis of a medium size grid-connected building integrated photovoltaic (BIPV) system using measured data,2013,"Abstract There are many immediate adverse effects on the environment such as large amount of greenhouse gases and pollutants emissions from the burning of fossil fuels for electricity generation. Photovoltaic (PV) systems are promising solar energy applications to generate electricity without emitting pollutants and requiring no fuel. In modern urban cities, most buildings are high-rise with limited spaces for PV system installation, the concept of building integrated photovoltaic (BIPV) would be an appropriate alternative form of the application. This paper studies a medium size grid-connected BIPV system mounted in an institutional building. Technical data including solar radiation and energy output were analyzed. The operational performance and electricity benefits of the BIPV system were examined in terms of cost, energy and environmental aspects. The monetary, embodied energy and greenhouse gas payback periods were estimated and reported. To shorten the payback periods, the BIPV system should incorporate with more passive energy-efficient architecture designs. This on-site measurement contributes the most accurate method of obtaining reliable data for determining the performance of various designs under the actual operating environments for evaluation.",Building-integrated photovoltaics; Engineering; Architectural engineering; Zero-energy building; Renewable energy; Embodied energy; Process engineering; Photovoltaic system; Electricity generation; Solar energy; Photovoltaics,http://dx.doi.org/10.1016/j.enbuild.2013.02.007,journal article,City University of Hong Kong,cn
238,054-298-952-525-714,BIPV Design and Economic Analysis of a Plant in Dongying,2010,"The article introduced the BIPV design and economic analysis of a plant in Dongying.The test showed that compared with traditional equipment,the increase of the cost of BIPV is 4.2 thousand yuan per square meter.But in its life cycle,it saves 23500 tons of standard coal,reduces emissions of carbon dioxide 6157 tons,sulfur dioxide 19.975 tons,nitrogen oxides 17.39 tons.And make contributions to energy and environment.",Building-integrated photovoltaics; Engineering; Sulfur dioxide; Economic analysis; Nitrogen oxides; Coal; Carbon dioxide; Waste management,http://en.cnki.com.cn/Article_en/CJFDTOTAL-SLJX201006007.htm,journal article,Tongji University,cn
239,055-621-063-365-38X,Investigation on the thermal performance of a novel vacuum PV glazing in different climates,2019,"Abstract With the rapid development of photovoltaic technologies, building-integrated photovoltaic (BIPV) windows could be used to replace traditional glazing, especially semi-transparent amorphous silicon (a-Si) photovoltaic (STPV) windows which can generate electricity in situ and admit daylight into the indoor environment. The utilization of semi-transparent PV modules provides the benefit of low solar heat gain coefficient (SHGC) as a key characteristic of window products. Meanwhile, it also produces a drawback as the remaining solar energy could be converted into heat gain which increases cooling load. Due to the excellent thermal insulation performance of vacuum glazing, the integration of STPV and vacuum glazing provides the potential to achieve the best energy-efficient performance by the low solar heat gain of the PV modules and low heat losses of the vacuum glazing. However, the determination of a suitable glazing of a building in different locations must consider the climate background. In this paper, the thermal performance of the proposed vacuum photovoltaic insulated glass unit (VPV IGU) in different climate zones has been investigated. The simulation work has shown that the vacuum PV glazing can provide a significant energy saving potential in Harbin, Beijing, Wuhan and Hong Kong, which represent the severe cold, cold, hot summer and cold winter, and hot summer and warm winter regions, respectively. However, it is not suitable for the moderate climatic region like Kunming. The results have indicated the advantages of utilizing the vacuum PV glazing in different climates as well as its limitations.",Building-integrated photovoltaics; Thermal; Cooling load; Environmental science; Solar gain; Photovoltaic system; Glazing; Solar energy; Engineering physics; Thermal insulation,http://dx.doi.org/10.1016/j.egypro.2019.01.190,journal article,Hong Kong Polytechnic University,cn
240,057-080-964-931-004,A review on solar pavement and photovoltaic/thermal (PV/T) system,2021,"Abstract In recent years, highway construction field has made huge efforts to develop energy harvesting solutions, such as solar pavement, which mainly on photovoltaic (PV) pavement and thermal energy harvesting pavement. Due to low energy utilisation efficiency and short operating life of PV cells without heat dissipation, the concept of pavement integrated photovoltaic/thermal system (PIPVT) is proposed, which organically combines the above two main solar pavements. Since there is no available research on PIPVT technology for roads, a comprehensive review on building integrated photovoltaic/thermal (BIPVT) system, the PV pavement, and thermal energy harvesting pavement were made to explore the technical feasibility of PIPVT. The initial design of PIPVT has been proposed according to the findings of our previous works, which can improve solar comprehensive utilisation efficiency, as well as the life of PV cells in theory. This review can provide new ideas for future research on energy harvesting pavement.",Energy harvesting; Thermal management of electronic devices and systems; Automotive engineering; Thermal; Technical feasibility; Low energy; Operating life; Thermal energy harvesting; Environmental science; Photovoltaic system,http://dx.doi.org/10.1016/j.trd.2021.102753,journal article,Chang'an University,cn
241,057-203-661-163-500,Pt-free transparent counter electrodes for cost-effective bifacial dye-sensitized solar cells,2014,"Bifacial dye-sensitized solar cells (DSCs) that are able to utilize the incidental light from both their front- and rear-side have received increasing attention in recent years. Compared to conventional DSCs that can only be operated under front-side illumination, bifacial design will allow DSCs to generate up to 50% more electrical power. Besides, bifacial DSCs can be easily made transparent and may find broad applications in building integrated photovoltaics (BIPV) as power-generating windows and roof panels. Transparent counter electrodes (CEs) are key to the fabrication of bifacial DSCs. However, despite the fact that conventional Pt CE can be made transparent, its high cost and scarce source may hinder the large-scale application of DSCs. Therefore, many efforts have been made to develop low-cost alternative CEs based on carbon materials, conducting polymers, inorganic compounds and their composites. In this feature article, we intend to pay special attention to the recent advances in the development of Pt-free transparent CEs and highlight their applications in bifacial DSCs.",Building-integrated photovoltaics; Conductive polymer; Fabrication; Nanotechnology; Electrode; Materials science; Dye-sensitized solar cell; Optoelectronics,http://dx.doi.org/10.1039/c4ta01404a,journal article,Jianghan University,cn
242,057-457-222-079-059,Energy efficiency evaluation of building integrated photovoltaic systems with different power configurations,2012,"Abstract The photovoltaic (PV) modules used in the building integrated photovoltaic (BIPV) system generally are installed in different orientations and angles. The performance of them is easily to be affected by partial shadows and mismatch of their electrical parameters. Some high performance power configurations have been proposed to solve these problems. This paper presents an energy efficiency analysis method to evaluate the energy efficiencies of BIPV systems with different power configurations. The principles and performance of seven types of power configurations for BIPV systems are discussed. The energy efficiency analysis model of each BIPV power configuration is built, and the simulation results of each configuration under different partial shade and electrical parameter mismatch conditions are presented to quantitatively evaluate their energy efficiencies. The evaluation results show that the AC module and photovoltaic DC building module is the optimal configuration since they have better anti-shading and anti-mismatch performances than the other power configurations.",Building-integrated photovoltaics; Engineering; Power (physics); Energy (signal processing); Electronic engineering; Efficient energy use; AC module; Analysis method; Photovoltaic system,http://dx.doi.org/10.1016/j.simpat.2012.07.014,journal article,Huazhong University of Science and Technology,cn
243,061-508-032-207-912,Low-Cost Heat Insulating Film Design for BIPV Modules Based on Multi-Layer Inorganic Materials,2012,"By analyzing the transmitionce and heat rate of insulating antireflection films conposed by refractive-index adjustable SiO2 layer and TiO2 layers, the optimum combination of antireflection films of BIPV is obtained. The absorption rate at the ultraviolet part that wavelenght excessive inadequate 400nm of the optimized fils is 99.9%, which are directly designed on the surface of the low iron tempered glass panel of BIPV, and in the wavelength range 400nm-800nm, the visible light transmitionce rate is up to 99.5%, and the heat that wavelenght excessive 800nm is reflected of 20%. For the multilayer heat insulation films are composed with the same kind of material while with different refractive indexes, there is no projecting stress between these films and no constraints during the production process of different films for the possible low cost heat insulating of BIPV.",Visible spectrum; Building-integrated photovoltaics; Optics; Materials science; Heat capacity rate; Toughened glass; Ultraviolet; Layer (electronics); Optoelectronics; Thermal insulation; Stress (mechanics),http://dx.doi.org/10.4028/www.scientific.net/amr.452-453.1424,journal article,Hebei University of Technology,cn
244,061-571-293-935-557,The Optimum Tilt Angles and Orientations of PV Claddings for Building-Integrated Photovoltaic (BIPV) Applications,2005,"The tilt and azimuth angles of a photovoltaic (PV) array affect the amount of incident solar radiation exposed on the array. This paper develops a new mathematical model for calculating the optimum tilt angles and azimuth angles for building-integrated photovoltaic (BIPV) applications in Hong Kong on yearly, seasonal, and monthly bases. The influence of PV cladding orientation on the power output of PV modules is also investigated. The correlations between the optimum tilt angle and local weather conditions or local environmental conditions are investigated. The results give reasonable solutions for the optimum tilt angles for BIPV applications for both grid-connected and stand-alone systems.",Building-integrated photovoltaics; Optics; Azimuth; Materials science; Power output; Photovoltaic system; Cladding (fiber optics),http://dx.doi.org/10.1115/1.2212439,journal article,Hong Kong Polytechnic University,cn
245,061-938-487-661-96X,Dynamic characteristics modeling of a hybrid photovoltaic–thermal solar collector with active cooling in buildings,2014,"Abstract Building integrated photovoltaic (BIPV), a new concept in solar power generation field, refers to integrating the photovoltaic array into the retaining structure surface of buildings to provide electric power. Photovoltaic (PV) is the key technology in the applications of BIPV, and how to improve the photovoltaic conversion efficiency has obtained more and more attention. In this paper, a brief review on the photovoltaic–thermal (PVT) solar collector and system using various working fluid was presented. Via dynamic simulation, the performance of a hybrid PVT collector using refrigerant as working fluid was evaluated and analyzed for the typical weather condition in Nanjing, China. The simulation results show the influence of the meteorological parameters and the evaporating temperature on the photovoltaic and thermal performance of the hybrid photovoltaic–thermal collector.",Building-integrated photovoltaics; Engineering; Active cooling; Automotive engineering; Rooftop photovoltaic power station; Photovoltaic thermal hybrid solar collector; Photovoltaic mounting system; Electronic engineering; Solar power; Photovoltaic system; Solar cable,http://dx.doi.org/10.1016/j.enbuild.2014.04.037,journal article,Nanjing University,cn
246,062-515-845-230-521,Photosynthesis of Plant and Photovoltaic Integrated Application of Buildings,2013,"As the most important means of solar energy application, photovoltaic performance has significant impact on human energy systems, much like the role of photosynthesis in the plant of ecosystem. In this aspect, photovoltaic and its integration with building and urban ecosystem are related to the theory of ecology, and the balance between society and nature. This paper puts forward the bionic conception of plant and on the basis of the recent researches on photosynthesis to interpret current solar utilization methodologies, especially the building integrated photovoltaic (BIPV), and the BIPV impact on urban environment. Based on the performance evaluation of the new photovoltaic module with green electricity, heating and cooling poly-generation, a hint was given that eco-solar buildings need learn from the process of photosynthesis of plants and the closed cycle of nature.",Building-integrated photovoltaics; Ecosystem; Engineering; Architectural engineering; Photosynthesis; Urban ecosystem; Green electricity; Photovoltaic system; Process (engineering); Solar energy,http://dx.doi.org/10.4028/www.scientific.net/amm.357-360.467,journal article,Tianjin University,cn
247,062-595-513-196-155,Integrated Photovoltaic System Design and Key Points Analysis Based on Green Building,2014,"Including architectural design、electrical design、system design, Green BIPV system design are analyzed, and the importance of the building fire and lightning protection design and the main points are pointed out. Further, the details of system design have also been given with specification and description. The photovoltaic system design elements and the importance are expounded through the photovoltalic project example analysis.",Building-integrated photovoltaics; Engineering; Key (cryptography); Systems engineering; Green building; Systems design; Design elements and principles; Photovoltaic system; Lightning (connector),http://dx.doi.org/10.4028/www.scientific.net/amm.641-642.994,journal article,Southeast University,cn
248,063-571-141-504-208,Hierarchical microgrid energy management in an office building,2017,"A two-stage hierarchical Microgrid energy management method in an office building is proposed, which; considers uncertainties from renewable generation, electric load demand, outdoor temperature and solar; radiation. In stage 1, a day-ahead optimal economic dispatch method is proposed to minimize the daily; Microgrid operating cost, with the virtual energy storage system being dispatched as a flexible resource.; In stage 2, a two-layer intra-hour adjustment methodology is proposed to smooth the power exchanges; at the point of common coupling by coordinating the virtual energy storage system and the electric; vehicles at two different time scales. A Vehicle-to-Building control strategy was developed to dispatch; the electric vehicles as a flexible resource. Numerical studies demonstrated that the proposed method is; able to reduce the daily operating cost at the day-ahead dispatch stage and smooth the fluctuations of the; electric power exchanges at the intra-hour adjustment stage.",Engineering; Control engineering; Power (physics); Automotive engineering; Economic dispatch; Microgrid; Operating cost; Electric power; Energy storage; Electrical load; Energy management,http://dx.doi.org/10.1016/j.apenergy.2017.10.002,journal article,Tianjin University,cn
249,064-089-282-083-954,The Application of Insulated Double-Glass Photovoltaic Module in BIPV,2012,"In this paper, insulated double-glass photovoltaic module is proposed, including its definition and characteristics. Because of its merits of heat and sound insulation, as well as clean energy generated by solar cells in double-glass, it can be widely used in building integrated photovoltaic (BIPV). Thermal properties and generating electricity efficiency of this module are also introduced in this article.",Building-integrated photovoltaics; Electrical engineering; Engineering; Soundproofing; Renewable energy; Thermal; Clean energy; Photovoltaic system; Electricity generation; Engineering physics,http://dx.doi.org/10.4028/www.scientific.net/amr.575.132,journal article,Xi'an Technological University,cn
250,065-126-001-712-678,An integrated design platform for BIPV system considering building information,2017,"In the current practice, in order to meet the design concerns from multiple disciplines Building Integrated Photovoltaic (BIPV) design normally involves multiple but isolated design processes. Each process needs to maintain a fraction set of, sometimes inconsistent models of, the whole BIPV. As a result of the isolation, the seamless integration, one of the prime goals of BIPV software design, becomes very difficult to be achieved. This paper presents a software platform regarding BIPV design and analysis by expanding Building Information Modelling (BIM) with the domain-specific models regarding photovoltaic systems, The resulting software platform, i.e. Extended Building Information Model, allows BIPV, in the planning phase, to be designed with the support of an uniform model and avoids the needs to maintain the different models across the different design stages of BIPV. The designed platform provides the analysis modules when integrating photovoltaic system into building construction: shadow and radiation analysis and electrical power analysis. A practical case application is employed to testify this platform.",Building-integrated photovoltaics; Systems engineering; Software; Integrated design; Computer science; Photovoltaic system; Process (engineering); Software design; Building information modeling; Data modeling,http://dx.doi.org/10.1109/ei2.2017.8245659,conference article,Zhejiang Sci-Tech University,cn
251,065-196-067-564-448,Study on Relevant Policies of Solar Photovoltaic Technology in China,2012,"This paper first compares with international incentive policies, reviews some relevant incentive measures in China. Meanwhile, introduce the content of the critical subsidy policies in detail, summarize its positive impact on PV industrial development, and analyze a few of representative unreasonable problem in the process of policy application. Finally, gains some inspirations for the worldwide application of PV industry in China as follow: promotes the on-grid of building integrated PV (BIPV) projects, formulates rational feed-in tariff linking to the distinction of solar energy resources of different areas, which can ensure the profitability of PV industry in its operation period.",Building-integrated photovoltaics; Profitability index; Environmental economics; Business; China; Tariff; Incentive; Photovoltaic system; Solar energy; Subsidy,http://dx.doi.org/10.4028/www.scientific.net/amr.608-609.82,journal article,Tongji University,cn
252,066-926-470-797-186,Advantages and challenges of DC microgrid for commercial building a case study from Xiamen university DC microgrid,2015,"This paper discussed the advantages and challenges of DC microgrid for commercial building. The data obtained from the DC microgrid constructed at Xiamen University shows that DC microgrid with rooftop solar system is an efficient way to power varies DC loads inside the building. The capacity of the solar system on the rooftop normally will be enough to power the LED light loads in commercial buildings, even for high rise buildings. In order to power heavy loads such as air conditioning and EV charging stations, extra power are required, which can be obtained from the BIPV on the sidewall, glass window, or adjacent parking lots. To ensure the stable bus voltage and continuous operation of the DC microgrid, a suitable energy storage unit and two way AC/DC invertors are needed. Therefore we believe to use the solar power only for the matched DC loads, and keep existing AC power in the building to power the rest loads (or an AC and DC hybrid microgrid) maybe a more viable solution. The economical analysis shows that installation cost of a DC microgrid system is about $2.2/W, which is becoming a marketable technology.",Air conditioning; AC power; Building-integrated photovoltaics; Electrical engineering; Engineering; Power (physics); Microgrid; Solar power; Solar energy; Energy storage,http://dx.doi.org/10.1109/icdcm.2015.7152068,conference article,Xiamen University,cn
253,067-003-149-926-149,Effect of urban climate on building integrated photovoltaics performance,2007,"It is generally recognized that BIPV (building integrated photovoltaics) has the potential to become a major source of renewable energy in the urban environment. The actual output of a PV module in the field is a function of orientation, total irradiance, spectral irradiance, wind speed, air temperature, soiling and various system-related losses. In urban areas, the attenuation of solar radiation due to air pollution is obvious, and the solar spectral content subsequently changes. The urban air temperature is higher than that in the surrounding countryside, and the wind speed in urban areas is usually less than that in rural areas. Three different models of PV power are used to investigate the effect of urban climate on PV performance. The results show that the dimming of solar radiation in the urban environment is the main reason for the decrease of PV module output using the climatic data of urban and rural sites in Mexico City for year 2003. The urban PV conversion efficiency is higher than that of the rural PV system because the PV module temperature in the urban areas is slightly lower than that in the rural areas in the case. The DC power output of PV seems to be underestimated if the spectral response of PV in the urban environment is not taken into account based on the urban hourly meteorological data of Sao Paulo for year 2004.",Building-integrated photovoltaics; Rural area; Meteorology; Urban climate; Wind speed; Renewable energy; Environmental science; Photovoltaic system; Irradiance; Air pollution,http://dx.doi.org/10.1016/j.enconman.2006.05.015,journal article,Tianjin University,cn
254,067-038-825-142-965,"Geographical interdependence, international trade and economic dynamics: The Chinese and German solar energy industries:",2012,"The trajectories of the German and Chinese photovoltaic industries differ significantly yet are strongly interdependent. Germany has seen a rapid growth in market demand and a strong increase in production, especially in the less developed eastern half of the country. Chinese growth has been export driven. These contrasting trajectories reflect the roles of market creation, investment and credit and the drivers of innovation and competitiveness. Consequent differences in competiveness have generated major trade disputes.",Supply and demand; German; International trade; Economics; Interdependence; China; Investment (macroeconomics); Production (economics); Economic dynamics; Solar energy,http://dx.doi.org/10.1177/0969776412448093,journal article,Chinese Academy of Sciences,cn
255,067-561-235-457-154,Environmental payback time analysis of a roof-mounted building-integrated photovoltaic (BIPV) system in Hong Kong,2010,"Abstract This paper reports the investigation results of the energy payback time (EPBT) and greenhouse-gas payback time (GPBT) of a rooftop BIPV system (grid-connected) in Hong Kong to measure its sustainability. The 22 kWp PV array is facing south with inclined angle of 22.5°. The hourly solar irradiance and ambient air temperature from 1996 to 2000 were used as weather data input. The annual power output was found to be 28,154 kWh. The embodied energy for the whole system in the lifespan was 205,816 kWh, including 71% from PV modules and 29% from balance of system (BOS). The percentage of embodied energy for silicon purification and processing reached 46%. The EPBT of the PV system was 7.3 years, and the GPBT was estimated to be 5.2 years considering fuel mixture composition of local power stations. This paper also discussed the EPBTs for different orientations, ranging from 7.1 years (optimal orientation) to 20.0 years (west-facing vertical PV facade). The results show that the ‘sustainability’ of a PV system is affected by its installation orientation and location. Choosing locations and orientations with higher incident solar irradiance is one key for the sustainability of BIPV technology applications.",Building-integrated photovoltaics; Engineering; Civil engineering; Meteorology; Embodied energy; Roof; Facade; Balance of system; Photovoltaic system; Power station; Solar irradiance,http://dx.doi.org/10.1016/j.apenergy.2010.06.011,journal article,Hong Kong Polytechnic University,cn
256,067-632-154-966-702,Performance of a building-integrated photovoltaic/thermal system under frame shadows,2017,"Abstract Air layer exists between glass covers and cells in most building-integrated photovoltaic/thermal (BIPV/T) systems. This layer significantly reduces heat loss and improves the thermal efficiency of BIPV/T systems. However, the frame border that supports the glass cover casts a shadow over cells near the frame according to the air layer thickness, system orientation and location of the sun, thereby affecting photovoltaic performance. This study aims to find out the effect of such air layer on thermal and photovoltaic performance of BIPV/T systems. The distribution of frame shadows and photovoltaic loss caused by such shadows is analyzed. Then thermal and photovoltaic performance of BIPV/T system with different air layer thicknesses is evaluated. The influences caused by the air layer thickness, orientation of the BIPV/T system, solar altitude, and solar azimuth are analyzed. An approach is presented to evaluate the annual performance of the BIPV/T system. The results show that the frame shadow reduces system photovoltaic efficiency to 2.6% (normal efficiency, 13.0%) in the worst case scenario in Hefei (E117°17′, N31°52′). The maximum annual electrical loss caused by the frame shadow is 70.15 kWh/m 2 at an azimuthal angle of −45°. The quantity of total outputs increases with increasing air thickness. But the maximum comprehensive outputs are 359.95 kWh at 20 mm air thickness.",Building-integrated photovoltaics; Optics; Frame (networking); Solar azimuth angle; Meteorology; Azimuth; Chemistry; Shadow; Thermal; Photovoltaic system; Thermal efficiency,http://dx.doi.org/10.1016/j.enbuild.2016.10.012,journal article,Shenzhen University,cn
257,067-966-205-726-515,The application of solar energy photovoltaic technology on the building surface,2011,"Along with economic development and the implementation of large-scale construction activities, human energy demand is also growing, resulting in the use of fossil energy resources can reduce the increasing volume, solar energy as a new, clean and renewable energy sources were widespread concern. And how to combine the solar energy technology to the building is a considering question. This paper firstly described the development of the solar energy photovoltaic's technology and the advantage of BiPV, and further research the application of solar energy photovoltaic's technology on the building surface. The last, it illuminate the combination of building surface and solar energy technology through the analysis of instance. There is a certain meaning for applying the solar energy photovoltaic's technology to building surface.",Engineering; Architectural engineering; Zero-energy building; Renewable energy; Photovoltaic thermal hybrid solar collector; Photovoltaic mounting system; Solar power; Photovoltaic system; Solar energy; Engineering physics; Low-energy house,http://dx.doi.org/10.1109/icetce.2011.5775934,conference article,Harbin Institute of Technology,cn
258,068-038-330-581-479,Experimental Study on Dynamic Thermal Response of Building Attached Photovoltaic (BAPV) Curtain Wall System,2017,"Abstract Curtain wall, as one of the architectural envelope, has been studied in this paper. Photovoltaic curtain wall (PVCW) system was attached to one of the existing room located at the Institute of Building Energy, Dalian University of Technology, China (coordinates N38.9°, E121.44°). PV modules were developed at the same laboratory and were attached to one of the south-facing exterior of the building with 500mm air gap as PVCW system. The entire width of the experimental system is 13m x 4m with the array layout of 8 x 4. The dynamic thermal response of the building indoor environment was studied during the normal working conditions of PVCW system. The result shows that the power generation efficiency of the PV module cells was 19.8%. The solar PVCW system can increase the energy-saving quantity along with improvement in the indoor environment of the building. So it is a perfect embodiment of the energy conservation and environmental protection concept.",Engineering; Experimental system; Thermal; Curtain wall; Building energy; Photovoltaic system; Electricity generation; Air gap (plumbing); Energy conservation; Structural engineering,http://dx.doi.org/10.1016/j.proeng.2017.09.985,journal article,Dalian University of Technology,cn
