Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
J,"Martin-Chivelet, N; Guillen, C; Trigo, JF; Herrero, J; Perez, JJ; Chenlo, F",,,,"Martin-Chivelet, Nuria; Guillen, Cecilia; Francisco Trigo, Juan; Herrero, Jose; Jose Perez, Juan; Chenlo, Faustino",,,Comparative Performance of Semi-Transparent PV Modules and Electrochromic Windows for Improving Energy Efficiency in Buildings,ENERGIES,,,,,,,,,,,,"Advanced constructive materials, such as electrochromic smart windows (ECSWs) and building integrated photovoltaics modules (BIPV), can improve the energy efficiency in buildings. A good optical and thermal characterization of these elements is necessary to assess and compare their performance. The existing testing procedures for glass in buildings are applied to both types of elements, and it is considered that while the optical procedures are suitable and allow good comparison of the two technologies, the indoor thermal testing procedures are not valid for BIPV nor ECSWs, because temperature of these absorbing elements strongly depend on the irradiance, something not considered in the current standards. To show and characterize this dependence, simultaneously monitoring of different photovoltaics (PV) modules and electrochromic windows has been performed outdoors under solar irradiance. A relationship between the surface temperature, the irradiance, and the ambient temperature has been obtained for each sample to compare both technologies.",,,,"Herrero, Jose/K-2711-2014; Chivelet, Nuria Martin/K-5039-2014; Guillen, Cecilia/H-8019-2013; Trigo, Juan F/C-3750-2008","Herrero, Jose/0000-0002-2680-7019; Chivelet, Nuria Martin/0000-0003-4224-6618; Guillen, Cecilia/0000-0002-7928-8240; Trigo, Juan F/0000-0001-5842-6918",,,,,,,,,,,,1996-1073,,,,,JUN,2018,11,6,,,,,,,1526,10.3390/en11061526,,,,,,,WOS:000436552700204,,,,,,
S,"Liu, ZQ; Bao, YW",,"Li, G; Huang, Y; Chen, C",,"Liu, Zhengquan; Bao, Yiwang",,,Design Issues and Contribution to Building Energy of Photovoltaic Roof,"ADVANCED BUILDING MATERIALS, PTS 1-4",Advanced Materials Research,,,,"1st International Conference on Civil Engineering, Architecture and Building Materials (CEABM 2011)","JUN 18-20, 2011","Haikou, PEOPLES R CHINA","Hainan Univ, Coll Civil Engn & Architecture, Guizhou Univ, Coll Civil & Architecture Engn, Hainan Soc Theoret & Appl Mech",,,,"Building-integrated photovoltaics (BIPV) is a relatively recent new application of photovoltaic (PV) energy technologies whose energy output is affected by many design-related factors including PV module technologies, installation orientation, tilt and shadow range of solar panels. The shading analysis of a residential house's PV roof in Beijing was conducted by using building analysis program Autodesk Ecotect 2010. Analysis result shows that there is no shadow on the PV roof from 9a.m to 4p.m in winter solstice when the solar altitude angle reaches minimum, which ensures almost no shading losses for the PV modules over the year. The differences in monthly energy output were compared in the case of different installation tilt of solar panels and PV module technologies. Finally, the contribution to the building energy of the PV roof was discussed. The results show that appropriate design and selection of PV modules can compensate for the energy requirements for building heating and cooling to some extent.",,,,,,,,,,,,,,,,,1022-6680,,978-3-03785-127-2,,,,2011,250-253,1-4,,,,,3035,+,,10.4028/www.scientific.net/AMR.250-253.3035,,,,,,,WOS:000304018401185,,,,,,
J,"Dai, YQ; Bai, Y; Cai, ZQ",,,,"Dai, Yiqing; Bai, Yu; Cai, Zhenqi",,,Thermal and mechanical evaluation on integration of GFRP and thinfilm flexible PV cells for building applications,JOURNAL OF CLEANER PRODUCTION,,,,,,,,,,,,"Building-integrated photovoltaics (BIPV) are multifunctional building components using exterior surfaces not subjected to structural loads to generate electricity by solar cells; while a few types of PV cells with higher flexibility have shown potentials to extend the application of BIPV components to load-carrying scenarios. In this paper thin-film flexible amorphous silicon (a-Si) PV cells and organic PV cells are adhesively bonded to glass fibre reinforced polymer (GFRP) sections to develop BIPV integrations. Such integrations and GFRP sections are then exposed to artificial sunlight with various intensities from 200 to 1000 W/m(2). An approximate linear increase in the surface temperature with the sunlight intensity is observed and quantified, and such thermal responses are also explained by thermomechanical analysis. Open-circuit voltage (V-OC) of the integrated a-Si PV cell decreases almost linearly at 0.40% for an increase of 1 degrees C until the maximum temperature (91.5 degrees C) in the experiments; while V-OC of the integrated organic PV cells decreases at 0.12% for an increase of 1 degrees C first until a significant degradation occurred at 78 degrees C. Such GFRP sections with PV cells are further examined under tensile or compressive loadings. The tensile results show that both types of PV cells can normally function up to GFRP breakage at about 1% strain. However, in compression, obvious decreases in V-OC are witnessed when a compressive strain of 0.23% on average is reached for the integrated a-Si PV cells. Such a critical compressive strain for the integrated organic PV cells is 0.25% on average. (C) 2021 Elsevier Ltd. All rights reserved.",,,,,"DAI, YIQING/0000-0002-5991-3037",,,,,,,,,,,,0959-6526,1879-1786,,,,MAR 20,2021,289,,,,,,,,125809,10.1016/j.jclepro.2021.125809,,,,,,,WOS:000620273900013,,,,,,
J,"Weerasinghe, RPNP; Yang, RJ; Too, E; Le, TD",,,,"Weerasinghe, R. P. Nilmini P.; Yang, Rebecca Jing; Too, Eric; Le, Tiendung",,,Renewable energy adoption in the built environment: a sociotechnical network approach,INTELLIGENT BUILDINGS INTERNATIONAL,,,,,,,,,,,,"The transition to renewable energy system in the building industry is a complex process comprising various technology elements and influenced by multiple stakeholders and various functions. Without unravelling how technical systems are embedded with social components, the opportunity for successful implementation is compromised. Therefore, this paper examines the influence of sociotechnical elements on renewable energy uptake in the building industry. This study adopts a sociotechnical network perspective and proposes a meta-network analysis (multi-link and multi-node network) to assess complex sociotechnical systems and uses an example of building-integrated photovoltaic (BIPV) uptake to demonstrate the approach. A comprehensive literature review and 20 interviews assisted in the development of the sociotechnical network. The adoption process is transformed to a three-node network,with nodes as social actors, technical artefacts and actions (drivers that influence the deployment). The findings reveal significant sociotechnical elements as adopters/clients: governments, BIPV panels, energy storage systems and the building. The system performances, uniform standards, regulations and building codes, stakeholder collaborations, incentives and upfront cost are highlighted as critical drivers influencing deployment. The goal of the study is to inform practitioners and researchers how social and technical dynamics shape successful renewable energy transition in the building sector.",,,,,"Weerasinghe, Nilmini/0000-0002-2722-6531",,,,,,,,,,,,1750-8975,1756-6932,,,,,2021,13,1,,,,,33,50,,10.1080/17508975.2020.1752134,,,,,,,WOS:000631800300005,,,,,,
S,"Di, P; Shen, W",,"Xu, N; Tian, L; Dai, F",,"Di, Peng; Shen, Wei",,,Application of PV roof on large space structure system,"SUSTAINABLE CITIES DEVELOPMENT AND ENVIRONMENT PROTECTION, PTS 1-3",Applied Mechanics and Materials,,,,"3rd International Conference on Civil Engineering, Architecture and Building Materials (CEABM 2013)","MAY 24-26, 2013","Jinan, PEOPLES R CHINA","Shandong Univ, Hong Kong Ind Technol Res Ctr",,,,"Future development of solar energy technology will focus on photovoltaic (PV) component. Analyzing the application of PV roof on large space structure system, this paper points out that key points of application of this technology are PV cells and roof bearing body. Besides, the discussion of what is important in structure design of PV roof shows that the calculation of Building-attached Photovoltaic roof (BAPV roof) should consider the influence of load applied on the windward side and leeward side, the synergic action of panels and supporting frames and whipping effect; while the calculation of Building-Integrated Photovoltaic roof (BIPV roof) should put bearing load on the first place and satisfy insulation work as well as waterproof work of roof. The conclusion is that the future development direction of roof is the two-in-one PV roof.",,,,,,,,,,,,,,,,,1660-9336,,978-3-03785-777-9,,,,2013,361-363,,,,,,391,395,,10.4028/www.scientific.net/AMM.361-363.391,,,,,,,WOS:000329536600079,,,,,,
J,"Huang, YC; Chan, CC; Kuan, SC; Wang, SJ; Lee, SK",,,,"Huang, Yen-Chieh; Chan, Chi-Chang; Kuan, Szu-Chi; Wang, Shui-Jinn; Lee, Shin-Ku",,,Analysis and Monitoring Results of a Building Integrated Photovoltaic Facade Using PV Ceramic Tiles in Taiwan,INTERNATIONAL JOURNAL OF PHOTOENERGY,,,,,,,,,,,,"Single-crystal silicon-based solar cells laminated with tempered-glass and ceramic tiles for use in a building's facade have been developed. The optical, thermal, and electrical properties of the proposed PV module are first evaluated, and then a wind-resistance test is carried out to evaluate the feasibility of installing it in Taiwan. The electrical and deflection characteristics of the proposed PV module did not change significantly after a 50 thermal cycling test and a 200-hour humidity-freeze test, based on IEC 61215 and a wind-resistance test. Finally, the electrical power generation ability of the proposed BIPV system with 1 kWp electrical power capacity was examined. Building information modeling software tools were used to simulate the BIPV system and carry out the energy analysis. The simulation results show a very consistent trend with regard to the actual monthly electricity production of the BIPV system designed in this work. The BIPV system was able to produce an accumulative electrical power of 185 kWh during the 6-month experimental period. In addition, the exterior temperature of the demonstration house was about 10 degrees C lower than the surface of the BIPV system, which could reduce indoor temperature.",,,,,,,,,,,,,,,,,1110-662X,1687-529X,,,,,2014,2014,,,,,,,,615860,10.1155/2014/615860,,,,,,,WOS:000339207900001,,,,,,
J,"Yang, L; Liu, XD; Qian, F",,,,"Yang, Li; Liu, Xiaodong; Qian, Feng",,,Optimal configurations of high-rise buildings to maximize solar energy generation efficiency of building-integrated photovoltaic systems,INDOOR AND BUILT ENVIRONMENT,,,,,,,,,,,,"The purpose of the paper is to evaluate the shadow impact factor of buildings on building-integrated photovoltaic (BIPV) system efficiency and to determine optimal building configurations: shapes and orientation; to ensure BIPV efficiency based on the sun-shading effect. Also considered were the height, tilt angles, orientations and array spacing as well as different shapes of the podium building for BIPV system. A parametric design software called grasshopper and plug-in ladybug were used for the simulation. Model cases were built according to statistics of high-rise buildings in Shanghai. The simulation condition was based on the winter solstice of 21 December. The results show the best shapes for high-rise buildings are circle and square, to ensure the best BIPV system efficiency. The BIPV should be located on the roof and the 'U' type podium building is the best shape for mounting the BIPV system to provide a good sunlight exposure no matter what the high-rise building shape is. For PV panels, the best height is 0.618 m, the optimum tilt angle and array spacing is 30 degrees and 1.214 m, respectively. The best orientation is southward followed by southeast, southwest and with the BIPV tilting upward at 30 degrees. Therefore, to maximize the solar energy generation, architects should consider square and round high-rise buildings and 'U' type podiums for mounting BIPV systems in commercial complex buildings.",,,,"Yang, Li/J-9260-2019",,,,,,,,,,,,,1420-326X,1423-0070,,,,OCT,2019,28,8,,,,,1104,1125,,10.1177/1420326X19830755,,,,,,,WOS:000484680800009,,,,,,
J,"Hasan, A; McCormack, SJ; Huang, MJ; Norton, B",,,,"Hasan, A.; McCormack, S. J.; Huang, M. J.; Norton, B.",,,Evaluation of phase change materials for thermal regulation enhancement of building integrated photovoltaics,SOLAR ENERGY,,,,,,,,,,,,Regulating the temperature of building integrated photovoltaics (BIPV) using phase change materials (PCMs) reduces the loss of temperature dependent photovoltaic (PV) efficiency. Five PCMs were selected for evaluation all with melting temperatures similar to 25 +/- 4 degrees C and heat of fusion between 140 and 213 kJ/kg. Experiments were conducted at three insolation intensities to evaluate the performance of each PCM in four different PV/PCM systems. The effect on thermal regulation of PV was determined by changing the (i) mass of PCM and (ii) thermal conductivities of the PCM and PV/PCM system. A maximum temperature reduction of 18 degrees C was achieved for 30 min while 10 degrees C temperature reduction was maintained for 5 h at -1000 W/m(2) insolation. (C) 2010 Elsevier Ltd. All rights reserved.,,,,"Norton, Brian/O-9170-2017","Norton, Brian/0000-0001-9123-0845; McCormack, Sarah/0000-0001-6950-9508; Huang, Ming Jun/0000-0003-4377-0059",,,,,,,,,,,,0038-092X,,,,,SEP,2010,84,9,,,,,1601,1612,,10.1016/j.solener.2010.06.010,,,,,,,WOS:000281934500006,,,,,,
S,"Corrao, R; D'Anna, D; Morini, M; Pastore, L",,"Li, D; Zheng, D; Shi, J",,"Corrao, Rossella; D'Anna, Dario; Morini, Marco; Pastore, Luisa",,,DSSC-integrated Glassblocks for the construction of Sustainable Building Envelopes,"MATERIALS RESEARCH AND APPLICATIONS, PTS 1-3",Advanced Materials Research,,,,International Conference on Advanced Material and Manufacturing Science (ICAMMS 2012),"DEC 20-21, 2012","Beijing, PEOPLES R CHINA","Int Res Assoc Informat & Comp Sci, Sci Technol Press, Beijing Xinyongshun Acad Exchange LTD",,,,"The paper shows the first results of the optical performance analysis carried out on the DSSC integrated glassblock, an innovative building product developed at the Department of Architecture of the University of Palermo. In the field of a research that is being conducted in order to define innovative solutions for the construction of photovoltaic and energy efficient translucent building envelopes, different hypotheses of integration of DSSC into the glassblock have been foreseen. The integration of glassblock with third generation PV systems allows to define a novel building-PV product that meets the current requirements of the BIPV (Building Integrated Photovoltaics) market. By means of OptiCADO (R) software, several numerical simulations were conducted to analyse the solar factor, the light transmittance and the shading coefficient of the device.",,,,"Corrao, Rossella/K-6376-2016; Morini, Marco/ABA-8849-2020; Pastore, Luisa/ABC-8647-2020","Corrao, Rossella/0000-0002-4560-6255; Morini, Marco/0000-0003-0524-3311; Pastore, Luisa/0000-0002-0852-3434",,,,,,,,,,,,1022-6680,,978-3-03785-993-3,,,,2014,875-877,,,,,,629,634,,10.4028/www.scientific.net/AMR.875-877.629,,,,,,,WOS:000339412000118,,,,,,
J,"Ruther, R; Braun, P",,,,"Ruther, Ricardo; Braun, Priscila",,,Energetic contribution potential of building-integrated photovoltaics on airports in warm climates,SOLAR ENERGY,,,,,,,,,,,,"Especially in warm climates, a considerable fraction of the electricity demand in commercial buildings is due to the intensive use of air-conditioning systems. Airport buildings in sunny and warm regions present a perfect match between energy demand and solar resource availability. Airport buildings are also typically large and horizontal, isolated and free of shading, and have a great potential for the integration of solar photovoltaic (PV) systems. In this work, we assess the potential impact in energy demand reduction at the Florianopolis International Airport in Brazil (27 degrees S, 48 degrees W) with the use of building-integrated photovoltaic (BIPV) systems. We analyse the building's hourly energy consumption and solar irradiation data, to assess the match between energy demand and potential generation, and we estimate the PV power necessary to supply both the total amount and fractions of the annual energy demand. Our results show that the integration of PV systems on airport buildings in warm climates can supply the entire electric power consumption of an airport complex, in line with the general concept of a zero-energy building (ZEB). (C) 2009 Elsevier Ltd. All rights reserved.",,,,"Ruther, Ricardo/AAL-6149-2020; Ruther, Ricardo/U-5503-2019","Ruther, Ricardo/0000-0003-1240-796X; ",,,,,,,,,,,,0038-092X,,,,,OCT,2009,83,10,,,,,1923,1931,,10.1016/j.solener.2009.07.014,,,,,,,WOS:000272263600017,,,,,,
J,"Lau, GE; Yeoh, GH; Timchenko, V; Reizes, JA",,,,"Lau, G. E.; Yeoh, G. H.; Timchenko, V.; Reizes, J. A.",,,Numerical investigation of passive cooling in open vertical channels,APPLIED THERMAL ENGINEERING,,,,,,,,,,,,"Numerical simulations have been carried out in order to investigate natural convection flow and heat transfer in vertical channels which are relevant to passive cooling of building-integrated photovoltaics (BIPV) systems. The numerical results have been validated against existing experimental data available in literature. It has been found that narrow vertical channels with different aspect ratios exhibit varied heat transfer behaviours, implying its significance in the design of passive cooling applications. In addition, the different behaviours of heat transfer may be explained by the turbulence quantities obtained through large-eddy simulations (LES). Based on the current numerical results, a correlation for turbulent natural convection in vertical channel has been determined to predict the average Nusselt number in terms of the relevant dimensionless parameters for the geometry considered in this study. (C) 2012 Elsevier Ltd. All rights reserved.",,,,,"Timchenko, Victoria/0000-0002-1228-5344; Yeoh, Guan/0000-0003-3483-3759",,,,,,,,,,,,1359-4311,,,,,JUN,2012,39,,,,,,121,131,,10.1016/j.applthermaleng.2012.01.001,,,,,,,WOS:000302670200016,,,,,,
B,"Ma, XL; Zhang, Q; Zhang, X; Hong, RJ",,"Fang, Z",,"Ma, X. L.; Zhang, Q.; Zhang, X.; Hong, R. J.",,,Performance and economic evaluation of the photovoltaic-thermal system for BIPV applications,ENERGY SCIENCE AND APPLIED TECHNOLOGY (ESAT 2016),,,,,3rd International Conference on Energy Science and Applied Technology (ESAT),"JUN 25-26, 2016","Wuhan, PEOPLES R CHINA","NE Petr Univ, Boya Century Publishing Ltd, Res Ctr Engn & Sci, Asian Union Informat Technol, HuBei XinWenSheng Conf Co Ltd",,,,"As photovoltaic thermal systems become more and more popular and commercial solutions find their way into the market, it is necessary to evaluate both the energetic and economic benefits of such systems at different climatic conditions. This paper describes an experimental study of a centralized PV/T system in South China. The influence of the parameters on its performance including environmental temperature, flow velocity, and solar radiation is investigated. The results showed that the daily thermal efficiency, daily electrical efficiency, and total PV/T efficiency reached 69.24%, 18.96%, and 88.52%, respectively. The system with a PR value of up to 80% and about 6 years payback period was obtained.",,,,,,,,,,,,,,,,,,,978-1-315-37507-6; 978-1-138-02973-6,,,,2016,,,,,,,67,72,,,,,,,,,WOS:000626706600013,,,,,,
J,"Ruther, R; Knob, PJ; Jardim, CD; Rebechi, SH",,,,"Ruther, Ricardo; Knob, Paulo Jose; Jardim, Carolina da Silva; Rebechi, Samuel Hilario",,,Potential of building integrated photovoltaic solar energy generators in assisting daytime peaking feeders in urban areas in Brazil,ENERGY CONVERSION AND MANAGEMENT,,,,,,,,,,,,"Because of the intermittent nature of the solar radiation resource, photovoltaic (PV) solar energy generation is considered a non-dispatchable power source. However, under some conditions, in sunny urban areas with electricity load curves dominated by air conditioning loads, there is a high correlation between PV generation and utility feeder loads. In these situations, a considerable fraction of a given PV generator can be considered dispatchable power. In this work, we assess the potential of grid connected, building integrated photovoltaic (BIPV) generation in the state capital, Florianopolis, in south Brazil (27 degrees S, 48 degrees W), which is supplied by the local utility company through 56 feeders. Our interest was to identify which feeder could obtain more benefits with implementation of a PV plant with a specific nominal power. Two factors are important in this analysis: the peak demand reduction value, and the LOLP (loss of load probability, in failures per year), or LOLE (loss of load expectation, in hours per year). We analyzed the hourly demand curves of the 56 feeders and compared them with the PV power generation values obtained from a 2 kW(P) BIPV installation that has been operating continuously for nearly 10 years connected to one of these feeders. For our calculations, we defined a PV installation of 1000 kW(PAC), which corresponds to penetration level values between 10% and 20%, depending on the specific feeder considered. Our results demonstrate that the use of PV power plants can reduce significantly the summer demand peaks in regions where the load reflects commercial customers demand for midday air conditioning. (C) 2007 Elsevier Ltd. All rights reserved.",,,,"Ruther, Ricardo/AAL-6149-2020; Ruther, Ricardo/U-5503-2019","Ruther, Ricardo/0000-0003-1240-796X; ",,,,,,,,,,,,0196-8904,,,,,MAY,2008,49,5,,,,,1074,1079,,10.1016/j.enconman.2007.09.020,,,,,,,WOS:000255318600023,,,,,,
J,"Choi, YK; Lee, JH",,,,"Choi, Young Kwan; Lee, Jae Hyeong",,,An empirical study on energy efficiency improvement through photovoltaic systems and a LED lighting control system,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,,,,,,,,,,,,"In this research, a facility was constructed and its performance was analyzed to improve the energy efficiency of a vertical-type water treatment building. After the design and construction of a fixed tilt Photovoltaic in Building (PVIB) on the rooftop using a crystalline silicon solar cell module and photovoltaic generator integrated with the building by using a Building Integrated Photovoltaic System (BIPV), a thin-film module on the rooftop and outer wall of water treatment building, and the generation efficiency was analyzed. Also, a DC distribution was established for use of a brushless DC (BLDC) pump motor, and the existing lighting-facility-based manual on-off method was turned into a system for energy conservation by controlling light emitting diode (LED) through a wireless motion sensor and dimming control. In addition, a Building Energy Management System (BEMS) for a real-time analysis of the energy efficiency for a vertical0type water treatment building was prepared and tested. The vertical-type water treatment building developed in this study is currently operating the BEMS. The vertical-type water treatment building reported in this paper is expected to reduce energy consumption by about 30% compared to existing water treatment systems.",,,,"Choi, Young Kwan/AAG-4821-2020",,,,,,,,,,,,,0374-4884,1976-8524,,,,SEP,2015,67,6,,,,,1001,1006,,10.3938/jkps.67.1001,,,,,,,WOS:000362291000007,,,,,,
B,"Haghighi, Z; Lizcano, JCO; van den Dobbelsteen, A; Isabella, O; Konstantinou, T; Zeman, M",,"Haberle, A",,"Haghighi, Zoheir; Lizcano, Juan Camilo Ortiz; van den Dobbelsteen, Andy; Isabella, Olindo; Konstantinou, Thaleia; Zeman, Miro",,,ASSESSMENT OF THE SUITABILITY OF PHOTOVOLTAIC CELL TECHNOLOGIES FOR PRODUCT DEVELOPMENT OF BUILDING INTEGRATED SOLUTIONS USING THE ANALYTICAL HIERARCHY PROCESS (AHP),PROCEEDINGS OF THE ISES EUROSUN 2018 CONFERENCE - 12TH INTERNATIONAL CONFERENCE ON SOLAR ENERGY FOR BUILDINGS AND INDUSTRY,,,,,12th International Conference on Solar Energy for Buildings and Industry (ISES EuroSun),2018,"Fachhochschule Ostschweiz, Hochschule Technik Rapperswil, Rapperswil, SWITZERLAND","Hoval, Polysun, Absolicon, Jinko Solar, Solar Technologie Int, Energiestadt Rapperswil Jona, Vogelin Energie & Solartechnik Gmbh, Swissolar, Int Solar Energy Soc","Fachhochschule Ostschweiz, Hochschule Technik Rapperswil",,,"Photovoltaic systems integrated into the built environment can have a significant role in our pursuit to achieve the targets set by regulatory legislation with regards to nearly zero-energy buildings (nZEB). However, the share of Building Integrated Photovoltaic (BIPV) products on the market have seen a slower growth than predicted. One of the main barriers to their diffusion includes the lack of knowledge among different stakeholders. Reducing this knowledge gap between the building industry and the PV industry is of utmost importance. The project presented in this paper aims to use the multi-criteria analysis method of analytical hierarchy process (AHP) as a tool to align the preferences of architects, product developers and engineers for integrated solutions with the most suitable PV technology. This can provide product developers with the necessary information to create PV applications that will better satisfy consumer and designer preferences and reduce the knowledge gap between the different stakeholders.",,,,,,,,,,,,,,,,,,,978-3-9820408-0-6,,,,2018,,,,,,,774,783,,10.18086/eurosun2018.02.17,,,,,,,WOS:000475550900082,,,,,,
J,"Fossa, M; Menezo, C; Leonardi, E",,,,"Fossa, M.; Menezo, C.; Leonardi, E.",,,Experimental natural convection on vertical surfaces for building integrated photovoltaic (BIPV) applications,EXPERIMENTAL THERMAL AND FLUID SCIENCE,,,,,,,,,,,,"An experimental study on natural convection in an open channel is carried out in order to investigate the effect of the geometrical configuration of heat sources on the heat transfer behaviour. To this aim, a series of vertical heaters are cooled by natural convection of air flowing between two parallel walls. The objective of the work is to investigate the physical mechanisms which influence the thermal behaviour of a double-skin photovoltaic (PV) facade. This results in a better understanding of the related phenomena and infers useful engineering information for controlling the energy transfers from the environment to the PV surfaces and from the PV surfaces to the building. Furthermore increasing the heat transfer rate from the PV surfaces increases the conversion efficiency of the PV modules since they operate better as their temperature is lower. The test section consists in a double vertical wall, 2 m high, and each wall is constituted by 10 different heating modules 0.2 m high. The heater arrangement simulates, at a reduced scale, the presence of a series of vertical PV modules. The heat flux at the wall ranges from 75 to 200 W/m(2). In this study, the heated section is 1.6 m in height, preceded by an adiabatic of 0.4 m in height. Different heating configurations are analyzed, including the uniform heating mode and two different configurations of non uniform, alternate heating. The experimental procedure allows the wall surface temperature, local heat transfer coefficient and local and average Nusselt numbers to be inferred. The experimental evidences show that the proper selection of the separating distance and heating configuration can noticeably decrease the surface temperatures and hence enhance the conversion efficiency of PV modules. (C) 2007 Elsevier Inc. All rights reserved.",,,,"Fossa, Marco/I-7848-2012","fossa, marco/0000-0003-4219-3229",,,,,,,,,,,,0894-1777,,,,,FEB,2008,32,4,,,,,980,990,,10.1016/j.expthermflusci.2007.11.004,,,,,,,WOS:000254476600007,,,,,,
J,"Reich, NH; van Sark, WGJHM; Turkenburg, WC; Sinke, WC",,,,"Reich, N. H.; van Sark, W. G. J. H. M.; Turkenburg, W. C.; Sinke, W. C.",,,Using CAD software to simulate PV energy yield - The case of product integrated photovoltaic operated under indoor solar irradiation,SOLAR ENERGY,,,,,,,,,,,,"In this paper, we show that photovoltaic (PV) energy yields can be simulated using standard rendering and ray-tracing features of Computer Aided Design (CAD) software. To this end, three-dimensional (3-D) sceneries are ray-traced in CAD. The PV power output is then modeled by translating irradiance intensity data of rendered images back into numerical data. To ensure accurate results, the solar irradiation data used as input is compared to numerical data obtained from rendered images, showing excellent agreement. As expected, also ray-tracing precision in the CAD software proves to be very high. To demonstrate PV energy yield simulations using this innovative concept, solar radiation time course data of a few days was modeled in 3-D to simulate distributions of irradiance incident on flat, single- and double-bend shapes and a PV Powered computer mouse located on a window sill. Comparisons of measured to simulated PV output of the mouse show that also in practice, simulation accuracies can be very high. Theoretically, this concept has great potential, as it can be adapted to suit a wide range of solar energy applications, such as sun-tracking and concentrator systems, Building Integrated PV (BIPV) or Product Integrated PV (PIPV). However, graphical user interfaces of 'CAD-PV' software tools are not yet available. (C) 2010 Elsevier Ltd. All rights reserved.",,,,"van Sark, Wilfried G.J.H.M./C-5009-2009","van Sark, Wilfried G.J.H.M./0000-0002-4738-1088",,,,,,,,,,,,0038-092X,,,,,AUG,2010,84,8,,,,,1526,1537,,10.1016/j.solener.2010.05.015,,,,,,,WOS:000280634000021,,,,,,
J,"Chen, X; Wang, WY; Luo, DD; Zhu, CH",,,,"Chen, Xiao; Wang, Wanying; Luo, Dandan; Zhu, Chihui",,,Performance Evaluation and Optimization of a Building-Integrated Photovoltaic/Thermal Solar Water Heating System for Exterior Shading: A Case Study in South China,APPLIED SCIENCES-BASEL,,,,,,,,,,,,"Building-integrated photovoltaic/thermal (BIPV/T) systems can produce both electrical and thermal energy through the use of photovoltaic/thermal modules integrated with building envelope. Exterior shading is a common way to improve summer indoor thermal environment of the buildings in low latitudes. This study presents a BIPV/T solar water heating system for exterior shading of residences. In order to evaluate and optimize the system performances, a model was developed to simulate the thermal and electrical production of such system. The simulations for an example system in Guangzhou, a city in South China, were performed to investigate the influences of tank installation height and panel tilt angle on system performances. According to simulation results, the suggested tank installation height is 0.6 similar to 0.8 m. The shading coefficient ranges from 0.797 to 0.828 when the tilt angle varies from 14 degrees to 38 degrees. The reduction of panel tilt angle causes a certain improvement of shading performance. The annual auxiliary heat reaches the minimum when the panel tilt angle equals 28 degrees, and the annual electric energy output changes little when the panel tilt angle ranges from 20 degrees to 28 degrees. Comprehensively considering thermal, electrical, and shading performances, the suggested panel tilt angle is 20 degrees similar to 28 degrees. The average thermal and electrical efficiencies are respectively 38.25% and 11.95% when the panel tilt angle ranges from 20 degrees to 28 degrees. The presented system is a promising way to provide hot water, electricity, and exterior shading for residences.",,,,,,,,,,,,,,,,,,2076-3417,,,,DEC,2019,9,24,,,,,,,5395,10.3390/app9245395,,,,,,,WOS:000518042000130,,,,,,
